#doneu m, a, b = 
#        x              poli            horner        diferencia
   7.500000e-01    6.103516e-05    6.103516e-05    0.000000e+00
   7.500500e-01    6.103653e-05    6.085634e-05    1.801891e-07
   7.501000e-01    6.129609e-05    6.037951e-05    9.165888e-07
   7.501500e-01    6.123269e-05    6.026030e-05    9.723954e-07
   7.502000e-01    6.030975e-05    6.055832e-05    2.485722e-07
   7.502500e-01    6.062860e-05    6.115437e-05    5.257643e-07
   7.503000e-01    6.002842e-05    6.103516e-05    1.006738e-06
   7.503500e-01    6.016322e-05    6.061792e-05    4.547073e-07
   7.504000e-01    6.069026e-05    6.014109e-05    5.491784e-07
   7.504500e-01    6.026845e-05    6.043911e-05    1.706576e-07
   7.505000e-01    6.047729e-05    6.037951e-05    9.778523e-08
   7.505500e-01    6.006515e-05    6.073713e-05    6.719820e-07
   7.506000e-01    5.995577e-05    5.996227e-05    6.501068e-09
   7.506500e-01    6.010449e-05    5.954504e-05    5.594484e-07
   7.507000e-01    5.979604e-05    5.954504e-05    2.509987e-07
   7.507500e-01    5.964136e-05    5.912781e-05    5.135516e-07
   7.508000e-01    5.972985e-05    5.984306e-05    1.132103e-07
   7.508500e-01    5.985289e-05    5.948544e-05    3.674577e-07
   7.509000e-01    5.935511e-05    5.990267e-05    5.475595e-07
   7.509500e-01    5.965155e-05    5.954504e-05    1.065127e-07
   7.510000e-01    5.899904e-05    5.924702e-05    2.479755e-07
   7.510500e-01    5.933472e-05    5.924702e-05    8.770076e-08
   7.511000e-01    5.921316e-05    5.894899e-05    2.641682e-07
   7.511500e-01    5.887278e-05    6.008148e-05    1.208704e-06
   7.512000e-01    5.928214e-05    5.900860e-05    2.735433e-07
   7.512500e-01    5.898092e-05    5.835295e-05    6.279770e-07
   7.513000e-01    5.890842e-05    5.924702e-05    3.385940e-07
   7.513500e-01    5.913810e-05    5.823374e-05    9.043652e-07
   7.514000e-01    5.867209e-05    5.871058e-05    3.848982e-08
   7.514500e-01    5.859814e-05    5.805492e-05    5.432157e-07
   7.515000e-01    5.842452e-05    5.745888e-05    9.656433e-07
   7.515500e-01    5.838964e-05    5.865097e-05    2.613342e-07
   7.516000e-01    5.885111e-05    5.841255e-05    4.385620e-07
   7.516500e-01    5.833446e-05    5.829334e-05    4.111644e-08
   7.517000e-01    5.813462e-05    5.733967e-05    7.949566e-07
   7.517500e-01    5.783507e-05    5.787611e-05    4.103640e-08
   7.518000e-01    5.803184e-05    5.763769e-05    3.941532e-07
   7.518500e-01    5.838221e-05    5.781651e-05    5.657021e-07
   7.519000e-01    5.790267e-05    5.763769e-05    2.649795e-07
   7.519500e-01    5.781513e-05    5.745888e-05    3.562491e-07
   7.520000e-01    5.758407e-05    5.704165e-05    5.424226e-07
   7.520500e-01    5.766956e-05    5.757809e-05    9.147334e-08
   7.521000e-01    5.765528e-05    5.745888e-05    1.963999e-07
   7.521500e-01    5.718358e-05    5.769730e-05    5.137117e-07
   7.522000e-01    5.720815e-05    5.680323e-05    4.049216e-07
   7.522500e-01    5.750544e-05    5.739927e-05    1.061708e-07
