Var1,Freq
16,0.0254679740226665
17,0.0323443270087864
18,0.0236852158410798
19,0.0257226537628932
20,0.0239398955813065
21,0.0271233923341398
22,0.0264866929835732
23,0.0310709283076531
24,0.0281421112950465
25,0.0117152680504266
26,0.00636699350566662
27,0.00725837259645995
28,0.00725837259645995
29,0.00687635298611995
30,0.00700369285623329
31,0.0109512288297466
32,0.0108238889596333
33,0.0104418693492933
34,0.0101871896090666
35,0.0126066471412199
36,0.0143894053228066
37,0.0159174837641666
38,0.0147714249331466
39,0.0159174837641666
40,0.0185916210365465
41,0.0147714249331466
42,0.0193556602572265
43,0.0187189609066599
44,0.0192283203871132
45,0.0120972876607666
46,0.0134980262320132
47,0.0110785686998599
48,0.0126066471412199
49,0.0122246275308799
50,0.0137527059722399
51,0.0123519674009933
52,0.0137527059722399
53,0.0122246275308799
54,0.0119699477906533
55,0.0115879281803133
56,0.0115879281803133
57,0.0127339870113332
58,0.0129886667515599
59,0.0127339870113332
60,0.0122246275308799
61,0.0119699477906533
62,0.0127339870113332
63,0.0129886667515599
64,0.0127339870113332
65,0.0165541831147332
66,0.0128613268814466
67,0.0155354641538266
68,0.0145167451929199
69,0.0148987648032599
70,0.0136253661021266
71,0.0147714249331466
72,0.0170635425951866
73,0.0145167451929199
74,0.0126066471412199
75,0.0143894053228066
76,0.00865911116770661
77,0.00967783012861327
78,0.0105692092194066
79,0.00751305233668662
80,0.00802241181713995
81,0.00738571246657328
82,0.00802241181713995
83,0.0047115751941933
84,0.00496625493441997
85,0.00458423532407997
86,0.0047115751941933
87,0.00292881701260665
88,0.00241945753215332
89,0.00178275818158665
90,0.00114605883101999
91,0.00140073857124666
92,0.00114605883101999
93,0.000764039220679995
94,0.000254679740226665
95,0.000636699350566662
96,0.000127339870113332
97,0.000254679740226665
